image_id,gel_id,lane_index,lane_type,alias,band_index,x_norm,y_norm,w_norm,h_norm,y_center_norm,height_norm,intensity_norm,confidence,label
20241011_174239.jpg,20241011_174239,4,sample,L4,3,0.425842,0.054683,0.030482,0.944154,0.52676,0.944154,1.0,1.0,band
20241011_174239.jpg,20241011_174239,4,sample,L4,4,0.425842,0.032577,0.030482,0.966259,0.515707,0.966259,0.943235,0.943235,band
20241011_174239.jpg,20241011_174239,4,sample,L4,5,0.425842,0.051774,0.030482,0.947062,0.525305,0.947062,0.973208,0.973208,band
20241011_174239.jpg,20241011_174239,5,sample,L5,1,0.463148,0.001163,0.046406,0.998837,0.500582,0.998837,0.451863,0.451863,band
20241011_174239.jpg,20241011_174239,5,sample,L5,2,0.463148,0.001163,0.046406,0.998255,0.500291,0.998255,0.594901,0.594901,band
20241011_174239.jpg,20241011_174239,5,sample,L5,3,0.463148,0.001745,0.046406,0.997091,0.500291,0.997091,0.857962,0.857962,band
20241011_174239.jpg,20241011_174239,5,sample,L5,4,0.463148,0.055265,0.046406,0.943572,0.527051,0.943572,0.957171,0.957171,band
20241011_174239.jpg,20241011_174239,5,sample,L5,5,0.463148,0.031995,0.046406,0.966841,0.515416,0.966841,0.911343,0.911343,band
20241011_174239.jpg,20241011_174239,5,sample,L5,6,0.463148,0.063409,0.046406,0.935428,0.531123,0.935428,1.0,1.0,band
20241011_174239.jpg,20241011_174239,6,sample,L6,1,0.530027,0.001163,0.179254,0.998255,0.500291,0.998255,0.624465,0.624465,band
20241011_174239.jpg,20241011_174239,6,sample,L6,2,0.530027,0.001745,0.179254,0.997091,0.500291,0.997091,0.839825,0.839825,band
20241011_174239.jpg,20241011_174239,6,sample,L6,3,0.530027,0.055846,0.179254,0.94299,0.527341,0.94299,0.999225,0.999225,band
20241011_174239.jpg,20241011_174239,6,sample,L6,4,0.530027,0.026178,0.179254,0.972659,0.512507,0.972659,0.918943,0.918943,band
20241011_174239.jpg,20241011_174239,6,sample,L6,5,0.530027,0.055846,0.179254,0.94299,0.527341,0.94299,1.0,1.0,band
20241011_174239.jpg,20241011_174239,7,sample,L7,1,0.738854,0.001745,0.153776,0.997673,0.500582,0.997673,0.791178,0.791178,band
20241011_174239.jpg,20241011_174239,7,sample,L7,2,0.738854,0.001745,0.153776,0.997091,0.500291,0.997091,0.821531,0.821531,band
20241011_174239.jpg,20241011_174239,7,sample,L7,3,0.738854,0.016289,0.153776,0.982548,0.507563,0.982548,0.887991,0.887991,band
20241011_174239.jpg,20241011_174239,7,sample,L7,4,0.738854,0.019779,0.153776,0.979058,0.509308,0.979058,0.89957,0.89957,band
20241011_174239.jpg,20241011_174239,7,sample,L7,5,0.738854,0.022106,0.153776,0.976731,0.510471,0.976731,0.903848,0.903848,band
20241011_174239.jpg,20241011_174239,7,sample,L7,6,0.738854,0.001745,0.153776,0.997091,0.500291,0.997091,0.817666,0.817666,band
20241011_174239.jpg,20241011_174239,8,marker,M2,1,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.873298,0.873298,band
20241011_174239.jpg,20241011_174239,8,marker,M2,2,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.860424,0.860424,band
20241011_174239.jpg,20241011_174239,8,marker,M2,3,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.913831,0.913831,band
20241011_174239.jpg,20241011_174239,8,marker,M2,4,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.900583,0.900583,band
20241011_174239.jpg,20241011_174239,8,marker,M2,5,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.943419,0.943419,band
20241011_174239.jpg,20241011_174239,8,marker,M2,6,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.921702,0.921702,band
20241011_174239.jpg,20241011_174239,8,marker,M2,7,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,1.0,1.0,band
20241011_174239.jpg,20241011_174239,8,marker,M2,8,0.913103,0.001745,0.079618,0.997091,0.500291,0.997091,0.964113,0.964113,band
20241011_174239.jpg,20241011_174239,8,marker,M2,9,0.913103,0.001745,0.079618,0.997673,0.500582,0.997673,0.790105,0.790105,band
20250117_115640.jpg,20250117_115640,1,marker,M1,1,0.003454,0.000766,0.038305,0.997702,0.499617,0.997702,1.0,1.0,band
20250117_115640.jpg,20250117_115640,1,marker,M1,2,0.003454,0.000383,0.038305,0.998468,0.499617,0.998468,0.724727,0.724727,band
20250117_115640.jpg,20250117_115640,2,sample,L2,1,0.052119,0.000766,0.076923,0.998851,0.500191,0.998851,0.485103,0.485103,band
20250117_115640.jpg,20250117_115640,2,sample,L2,2,0.052119,0.001532,0.076923,0.997319,0.500191,0.997319,0.74165,0.74165,band
20250117_115640.jpg,20250117_115640,2,sample,L2,3,0.052119,0.001532,0.076923,0.997319,0.500191,0.997319,0.788546,0.788546,band
20250117_115640.jpg,20250117_115640,2,sample,L2,4,0.052119,0.219839,0.076923,0.778629,0.609154,0.778629,0.967476,0.967476,band
20250117_115640.jpg,20250117_115640,2,sample,L2,5,0.052119,0.225584,0.076923,0.384527,0.417848,0.384527,1.0,1.0,band
20250117_115640.jpg,20250117_115640,2,sample,L2,6,0.052119,0.001915,0.076923,0.996936,0.500383,0.996936,0.864292,0.864292,band
