file,line,label,pattern,snippet
autodense_autotune/java_bridge.py,99,ImageJ reference,\bImageJ\b,"""""""Discover Fiji/ImageJ installation using environment or auto-discovery"""""""
cspell.json,5,ImageJ reference,\bImageJ\b,"""AutoDense"",""ImageJ"",""Coomassie"",""BandAssist"",""Rf"","
scripts/discover_imagej.py,3,ImageJ reference,\bImageJ\b,Fiji/ImageJ Discovery and Classpath Management for AutoDense
scripts/discover_imagej.py,5,ImageJ reference,\bImageJ\b,This script provides intelligent discovery and caching of Fiji/ImageJ installations
scripts/discover_imagej.py,9,ImageJ reference,\bImageJ\b,- Automatic Fiji/ImageJ installation discovery across platforms
scripts/env_check.py,8,ImageJ reference,\bImageJ\b,- Fiji/ImageJ discovery and validation
scripts/env_check.py,105,ImageJ reference,\bImageJ\b,# Check Java version compatibility (Java 11+ required for modern ImageJ)
scripts/env_check.py,156,ImageJ reference,\bImageJ\b,"""""""Validate Fiji/ImageJ environment"""""""
autodense/packaging/scripts/build_and_package.sh,52,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),"-DexcludeGroupIds=""net.imagej,org.scijava,org.scijava.plugins,net.imglib2,org.jdom"" \"
autodense/plugin/pom.xml,22,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<groupId>net.imagej</groupId>
autodense/plugin/pom.xml,32,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<groupId>net.imagej</groupId>
autodense/plugin/pom.xml,36,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<groupId>net.imagej</groupId>
autodense/plugin/pom.xml,40,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<groupId>org.scijava</groupId>
autodense/plugin/pom.xml,41,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<artifactId>scijava-common</artifactId>
